City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Praia Da Vitoria,PT,38.73,-27.07,60.8,87,40,15.9,scattered clouds
238,Mahebourg,MU,-20.41,57.7,77.0,53,75,9.17,broken clouds
239,Asfi,MA,32.3,-9.24,63.79,81,0,12.33,clear sky
240,Lunino,RU,53.59,45.23,43.0,71,59,7.49,broken clouds
241,Nieuwpoort,BE,51.12,2.77,64.4,77,75,25.28,broken clouds
242,Axim,GH,4.87,-2.24,78.76,87,76,4.79,light rain
243,Sistranda,NO,63.73,8.83,51.8,71,75,23.04,shower rain
244,Pingzhuang,CN,42.04,119.29,37.8,52,0,18.16,clear sky
245,Bauska,LV,56.41,24.19,42.8,81,40,12.75,scattered clouds
246,Pierre,US,44.37,-100.35,35.6,64,1,3.36,clear sky
247,Sabha,LY,27.04,14.43,63.25,55,0,12.08,clear sky
248,Bethel,US,41.37,-73.41,39.2,60,1,12.75,clear sky
249,Rodino,RU,52.5,80.25,39.49,82,100,7.23,overcast clouds
250,San Quintin,MX,30.48,-115.95,65.57,68,0,5.3,clear sky
251,Haines Junction,CA,60.75,-137.51,6.8,84,100,1.12,snow
252,Perth,AU,-31.93,115.83,69.01,72,75,12.75,broken clouds
253,Zhigansk,RU,66.77,123.37,4.75,94,100,21.79,light snow
254,Charlestown,AU,-32.95,151.67,69.01,71,97,11.45,overcast clouds
255,Manavgat,TR,36.79,31.44,64.4,39,0,12.75,clear sky
256,Kysyl-Syr,RU,63.9,122.76,5.63,91,91,8.03,overcast clouds
257,Liku,ID,-0.73,119.89,82.26,74,100,2.51,moderate rain
258,Ribeira Grande,PT,38.52,-28.7,62.37,67,4,17.98,clear sky
259,Omboue,GA,-1.57,9.26,74.7,95,100,1.43,moderate rain
260,Coolum Beach,AU,-26.53,153.1,75.99,71,0,7.0,clear sky
261,Port Hardy,CA,50.7,-127.42,53.6,76,90,3.36,overcast clouds
262,Swan Hill,AU,-35.34,143.55,84.07,24,18,5.35,few clouds
263,Longyearbyen,SJ,78.22,15.64,35.6,74,0,33.33,clear sky
264,Beni,CD,0.5,29.47,74.97,66,99,0.63,overcast clouds
265,Florianopolis,BR,-27.61,-48.5,60.8,93,75,2.24,broken clouds
266,Helena,US,46.59,-112.04,42.01,69,1,4.41,clear sky
267,Nerang,AU,-27.98,153.33,77.0,53,40,18.34,scattered clouds
268,Batagay-Alyta,RU,67.8,130.41,-11.13,82,0,2.53,clear sky
269,Campeche,MX,19.0,-90.5,67.73,98,49,3.04,scattered clouds
270,Manicore,BR,-5.81,-61.3,75.2,94,0,0.56,clear sky
271,Viedma,AR,-40.81,-63.0,60.01,61,0,13.02,clear sky
272,Burnie,AU,-41.07,145.92,63.0,72,42,8.01,scattered clouds
273,Thunder Bay,CA,48.4,-89.32,30.2,46,90,10.29,overcast clouds
274,Hami,CN,42.8,93.45,58.17,32,5,2.33,clear sky
275,Kondinskoye,RU,59.65,67.41,28.92,96,100,8.9,overcast clouds
276,Jaunpur,IN,25.73,82.68,82.4,42,0,5.82,smoke
277,Raudeberg,NO,61.99,5.14,48.0,90,66,34.78,broken clouds
278,Guatire,VE,10.48,-66.54,70.0,82,100,3.33,overcast clouds
279,Kapurthala,IN,31.38,75.38,78.8,41,0,6.93,haze
280,Genhe,CN,50.78,121.52,12.33,87,100,10.33,overcast clouds
281,Hofn,IS,64.25,-15.21,35.62,76,0,11.54,clear sky
282,Khandagayty,RU,50.73,92.05,29.16,91,98,2.71,overcast clouds
283,Hamilton,US,39.18,-84.53,34.0,59,1,9.17,clear sky
284,Duncan,US,34.5,-97.96,46.0,75,1,3.36,clear sky
285,Ankang,CN,32.68,109.02,69.64,27,0,2.66,clear sky
286,Yulara,AU,-25.24,130.99,102.2,10,67,12.75,broken clouds
287,Bereznik,RU,62.86,42.71,29.17,94,70,6.13,broken clouds
288,Nova Odesa,UA,47.31,31.79,48.2,87,40,11.18,scattered clouds
289,Inirida,CO,3.87,-67.92,70.88,97,100,0.85,overcast clouds
290,Hambantota,LK,6.12,81.12,85.44,66,87,7.7,overcast clouds
291,Sept-Iles,CA,50.2,-66.38,37.4,100,100,4.7,light rain
292,Tuatapere,NZ,-46.13,167.68,54.0,68,11,7.0,few clouds
293,Wum,CM,6.38,10.07,69.1,85,93,1.61,overcast clouds
294,Nouakchott,MR,18.09,-15.98,71.6,35,100,8.05,overcast clouds
295,Labuhan,ID,-6.88,112.21,85.57,68,80,5.37,moderate rain
296,San Nicolas,PH,18.17,120.6,80.6,94,75,9.17,broken clouds
297,Teahupoo,PF,-17.83,-149.27,80.6,74,40,2.24,scattered clouds
298,Yabelo,ET,4.88,38.08,67.21,72,59,16.87,broken clouds
299,Evensk,RU,61.95,159.23,23.59,95,100,5.61,overcast clouds
300,Rawson,AR,-43.3,-65.1,74.12,23,79,18.28,broken clouds
301,Novodugino,RU,55.63,34.28,41.49,96,100,8.63,overcast clouds
302,Banepa,NP,27.63,85.52,78.8,44,20,3.36,few clouds
303,Alice Springs,AU,-23.7,133.88,96.8,9,0,10.29,clear sky
304,Ushtobe,KZ,45.25,77.98,54.46,38,100,3.04,overcast clouds
305,Heihe,CN,50.24,127.49,21.2,79,75,15.66,broken clouds
306,Chifeng,CN,42.27,118.96,36.57,53,0,19.53,clear sky
307,Honolulu,US,21.31,-157.86,75.2,83,20,4.7,few clouds
308,Adrar,MR,20.5,-10.07,74.84,20,100,9.04,overcast clouds
309,Naze,JP,28.37,129.48,82.4,69,20,5.82,few clouds
310,Flagstaff,US,35.2,-111.65,57.0,41,40,3.47,scattered clouds
311,Lompoc,US,34.64,-120.46,64.99,82,1,4.7,clear sky
312,Diamantino,BR,-14.41,-56.45,74.73,77,77,1.86,broken clouds
313,Ibra,OM,22.69,58.53,87.1,11,0,2.59,clear sky
314,Anadyr,RU,64.75,177.48,6.8,92,20,6.71,few clouds
315,Mahibadhoo,MV,3.78,72.97,83.34,70,100,7.7,overcast clouds
316,Wadi Maliz,TN,36.47,8.55,53.6,87,0,2.24,clear sky
317,Yankton,US,42.87,-97.4,41.0,51,1,5.82,clear sky
318,Biak,ID,-0.91,122.88,84.61,64,94,8.16,overcast clouds
319,Kalmunai,LK,7.42,81.82,86.68,65,77,8.23,broken clouds
320,Chilca,PE,-12.52,-76.74,62.6,82,90,11.41,overcast clouds
321,Richmond,US,37.55,-77.46,44.6,39,1,18.34,clear sky
322,Fengzhen,CN,40.44,113.15,36.81,56,0,17.58,clear sky
323,Ornskoldsvik,SE,63.29,18.72,46.4,100,90,27.51,moderate rain
324,Porbandar,IN,21.64,69.61,93.2,32,0,12.75,clear sky
325,La Ronge,CA,55.1,-105.28,35.6,96,94,3.36,overcast clouds
326,Sheridan,US,44.83,-106.92,46.0,69,1,4.63,clear sky
327,Shingu,JP,33.73,135.98,62.6,100,75,4.7,broken clouds
328,Lixourion,GR,38.2,20.43,60.8,100,40,0.58,scattered clouds
329,Kiunga,PG,-6.12,141.29,87.67,63,77,2.15,broken clouds
330,Quime,BO,-16.98,-67.22,49.23,69,96,1.54,overcast clouds
331,Mehamn,NO,71.04,27.85,44.6,75,40,16.11,scattered clouds
332,Shalinskoye,RU,55.72,93.76,40.69,66,100,10.27,overcast clouds
333,Ketchikan,US,55.34,-131.65,50.0,100,90,27.51,heavy intensity rain
334,Fukue,JP,32.69,128.84,62.6,88,75,11.41,broken clouds
335,Andenes,NO,69.31,16.12,48.2,70,75,19.46,broken clouds
336,Salym,RU,60.06,71.48,28.2,98,100,8.25,overcast clouds
337,Belmonte,BR,-15.86,-38.88,66.2,93,75,8.05,broken clouds
338,Coos Bay,US,43.37,-124.22,50.0,100,1,6.93,clear sky
339,Xinxiang,CN,35.31,113.87,70.02,20,0,3.0,clear sky
340,Bolshoye Selo,RU,57.72,38.93,37.83,89,100,6.55,overcast clouds
341,Camacha,PT,33.08,-16.33,68.0,88,20,9.17,few clouds
342,Kasane,BW,-17.82,25.15,78.8,41,0,6.93,clear sky
343,Vila Franca Do Campo,PT,37.72,-25.43,62.6,77,75,16.11,broken clouds
344,Laguna,US,38.42,-121.42,55.4,71,1,2.28,clear sky
345,Strezhevoy,RU,60.73,77.59,32.0,97,90,11.18,overcast clouds
346,Jacmel,HT,18.23,-72.53,77.23,73,100,5.64,overcast clouds
347,Sinnamary,GF,5.38,-52.95,78.48,84,100,6.6,moderate rain
